Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
4.8998,0.00015723,0.00017048,0.018845,0.010572,0.010572,4,-9.514,-0.084299,0.19061,-0.0019663,0.015262,0.015262,0.028591,0.0013063,0.0013063,-0.0073977,0.033894,0.033894,0.018845,0.010572,0.010572
4.9514,0.00015568,0.00016943,0.010241,0.013461,0.013461,4,-11.947,-0.087448,0.1924,-0.01146,0.016948,0.016948,0.019426,0.0053183,0.0053183,-0.018265,0.044831,0.044831,0.010241,0.013461,0.013461
5.0029,0.00015406,0.3939,-0.022451,0.044066,0.044066,3,-21.604,-0.083048,0.19318,-0.015699,0.01324,0.01324,0.014501,0.0018335,0.0018335,-0.022451,0.044066,0.044066,0.0054706,0.0097691,0.0097691
5.0545,0.00015239,0.327,-0.020676,0.032559,0.032559,3,-20.909,-0.075484,0.1901,-0.012702,0.0021402,0.0021402,0.015564,0.010379,0.010379,-0.020676,0.032559,0.032559,0.006432,0.0020858,0.0020858
5.1061,0.00015061,0.22167,-0.012709,0.013257,0.013257,3,-18.346,-0.059203,0.18409,-0.002638,0.015309,0.015309,0.022432,0.030294,0.030294,-0.012709,0.013257,0.013257,0.013218,0.021021,0.021021
5.1577,0.00014869,0.12939,0.00070631,0.0059938,0.0059938,3,-14.134,-0.043851,0.17417,0.013234,0.031496,0.031496,0.033359,0.049365,0.049365,0.00070631,0.0059938,0.0059938,0.02449,0.038835,0.038835
5.2092,0.00014663,0.067112,0.019211,0.010579,0.010579,3,-8.3822,-0.020826,0.16066,0.035328,0.032472,0.032472,0.049934,0.052976,0.052976,0.019211,0.010579,0.010579,0.041489,0.041078,0.041078
5.2608,0.00014441,0.031831,0.034882,0.0029197,0.0029197,3,-3.464,-0.0043619,0.14172,0.054549,0.020793,0.020793,0.062109,0.0434,0.0434,0.034882,0.0029197,0.0029197,0.054847,0.030239,0.030239
5.3124,0.00014197,0.013773,0.033695,0.0050077,0.0050077,3,-3.5846,-0.0058752,0.1207,0.057278,0.0083207,0.0083207,0.056746,0.032046,0.032046,0.033695,0.0050077,0.0050077,0.051331,0.018049,0.018049
5.364,0.0001395,0.00014297,0.03472,0.026734,0.021214,4,-3.0397,-0.020942,0.099916,0.046468,0.00048894,0.00048894,0.03748,0.023974,0.023974,0.019702,0.0076489,0.0076489,0.03472,0.0097516,0.0097516
5.4156,0.00013755,0.00014061,0.019379,0.018287,0.016145,4,-7.4554,-0.037259,0.087175,0.034514,0.0059302,0.0059302,0.02045,0.017216,0.017216,0.0060785,0.0075958,0.0075958,0.019379,0.0030624,0.0030624
5.4671,0.00013629,0.0013968,-0.0018692,0.0059686,0.0059686,3,-13.711,-0.050474,0.082676,0.025693,0.0096406,0.0096406,0.010112,0.013345,0.013345,-0.0018692,0.0059686,0.0059686,0.0096084,0.00080251,0.00080251
5.5187,0.00013547,0.0010863,-0.0067285,0.005383,0.005383,3,-15.09,-0.059041,0.086467,0.019587,0.012896,0.012896,0.0045604,0.011221,0.011221,-0.0067285,0.005383,0.005383,0.0036132,0.0035578,0.0035578
